,area,value,year,item
5,山形県,221271.5756136184,1965.0,pergdp
6,福島県,213715.22177419355,1965.0,pergdp
7,茨城県,235806.42023346305,1965.0,pergdp
8,栃木県,289948.0946123522,1965.0,pergdp
9,群馬県,262503.7359900373,1965.0,pergdp
10,埼玉県,252069.65174129355,1965.0,pergdp
11,千葉県,264090.3034789045,1965.0,pergdp
12,東京都,522946.5452203515,1965.0,pergdp
13,神奈川県,428033.1753554503,1965.0,pergdp
14,新潟県,273313.04710295954,1965.0,pergdp
15,富山県,306128.78048780485,1965.0,pergdp
16,石川県,295009.1836734694,1965.0,pergdp
17,福井県,268049.26764314243,1965.0,pergdp
18,山梨県,232508.51900393184,1965.0,pergdp
19,長野県,250243.6159346272,1965.0,pergdp
20,岐阜県,274720.0,1965.0,pergdp
21,静岡県,336779.2653621696,1965.0,pergdp
22,愛知県,398534.27797457814,1965.0,pergdp
23,三重県,316420.7397622193,1965.0,pergdp
24,滋賀県,278393.9038686987,1965.0,pergdp
25,京都府,316621.01759391354,1965.0,pergdp
26,大阪府,482448.5503980772,1965.0,pergdp
27,兵庫県,343387.7030162413,1965.0,pergdp
28,奈良県,258325.6658595641,1965.0,pergdp
29,和歌山県,363431.3534566699,1965.0,pergdp
30,鳥取県,228406.89655172412,1965.0,pergdp
31,島根県,209368.61313868614,1965.0,pergdp
32,岡山県,295890.5775075988,1965.0,pergdp
33,広島県,339230.6006137659,1965.0,pergdp
34,山口県,333969.55958549224,1965.0,pergdp
35,徳島県,225715.33742331289,1965.0,pergdp
36,香川県,269250.83240843506,1965.0,pergdp
37,愛媛県,270867.21991701244,1965.0,pergdp
38,高知県,230991.38991389915,1965.0,pergdp
39,福岡県,291252.96343001263,1965.0,pergdp
40,佐賀県,234428.8990825688,1965.0,pergdp
41,長崎県,200566.72760511885,1965.0,pergdp
42,熊本県,205342.74421230945,1965.0,pergdp
43,大分県,231513.05812973878,1965.0,pergdp
44,宮崎県,221559.66697502317,1965.0,pergdp
45,鹿児島県,184196.33225458467,1965.0,pergdp
46,沖縄県,133777.31958762885,1965.0,pergdp
0,北海道,331896.66473877005,1966.0,pergdp
1,青森県,243413.96332863183,1966.0,pergdp
2,岩手県,250286.52886671422,1966.0,pergdp
3,宮城県,287385.7954545455,1966.0,pergdp
4,秋田県,287002.3622047244,1966.0,pergdp
5,山形県,256223.64217252398,1966.0,pergdp
6,福島県,256006.09446419505,1966.0,pergdp
7,茨城県,267805.55555555556,1966.0,pergdp
